/files/hits/amul-hits-1120.gif^Divide and drool^/files/hits/amul-hits-1120.gif^Divide and drool^Divide and drool^[u'Divide and drool']
/files/hits/amul-hits-1104.gif^Viv Richards refused entry into a city club for not adthering to the dress code.^/files/hits/amul-hits-1104.gif^In all clubs this coat is a must^In all clubs this coat is a must^[u'Viv Richards refused entry into a city club for not adthering to the dress code.']
/files/hits/amul-hits-1103.gif^NTR arrested for breaking the law.^/files/hits/amul-hits-1103.gif^It's application is NTRly lawful^It's application is NTRly lawful^[u'NTR arrested for breaking the law.']
/files/hits/amul-hits-1102.gif^Amul celebrates the spirit of Chirstmas.^/files/hits/amul-hits-1102.gif^X'mas stocking^X'mas stocking^[u'Amul celebrates the spirit of Chirstmas.']
/files/hits/amul-hits-1101.gif^The Russian cultural festival held in India.^/files/hits/amul-hits-1101.gif^Paint the town red^Paint the town red^[u'The Russian cultural festival held in India.']
/files/hits/amul-hits-1100.gif^A comment on the film `Mr. India'^/files/hits/amul-hits-1100.gif^Formula that makes food disappear^Formula that makes food disappear^[u"A comment on the film `Mr. India'"]
/files/hits/amul-hits-1099.gif^Border scores the highest number of runs beating England.^/files/hits/amul-hits-1099.gif^Bordering on excellence^Bordering on excellence^[u'Border scores the highest number of runs beating England.']
/files/hits/amul-hits-1098.gif^India's chances during Reliance Cup.^/files/hits/amul-hits-1098.gif^..We will...we will not...^..We will...we will not...^[u"India's chances during Reliance Cup."]
/files/hits/amul-hits-1097.gif^Ramesh Krishnan beats Wally Masur.^/files/hits/amul-hits-1097.gif^Krishnan makes Masur Ki daal^Krishnan makes Masur Ki daal^[u'Ramesh Krishnan beats Wally Masur.']
/files/hits/amul-hits-1096.gif^During the telecast of the serial - Ramayan.^/files/hits/amul-hits-1096.gif^Ravan'ously hungry?^Ravan'ously hungry?^[u'During the telecast of the serial - Ramayan.']
/files/hits/amul-hits-1095.gif^Ivan Lendl returns with a vengence.^/files/hits/amul-hits-1095.gif^This Czech bounces back.^This Czech bounces back.^[u'Ivan Lendl returns with a vengence.']
/files/hits/amul-hits-1094.gif^Arrest of the notorious criminal Jhinda.^/files/hits/amul-hits-1094.gif^Arresting flavour that nobody `Jinda' can arrest^Arresting flavour that nobody `Jinda' can arrest^[u'Arrest of the notorious criminal Jhinda.']
/files/hits/amul-hits-1093.gif^Celebrating the Ganapati festival.^/files/hits/amul-hits-1093.gif^Ganapati Bappa More `Ghya'!^Ganapati Bappa More `Ghya'!^[u'Celebrating the Ganapati festival.']
