/files/hits/amul-hits-1332.gif^A comment on the controversial MR Coffee advertisement^/files/hits/amul-hits-1332.gif^Love-bites^Love-bites^[u'A comment on the controversial MR Coffee advertisement']
/files/hits/amul-hits-1063.gif^Reservation policies for the OBC's (ie. Other Backward Communities)^/files/hits/amul-hits-1063.gif^Reserved for this Oustanding Butter Classic^Reserved for this Oustanding Butter Classic^[u"Reservation policies for the OBC's (ie. Other Backward Communities)"]
/files/hits/amul-hits-1062.gif^India win the Kabbadi gold medal at the Asian games^/files/hits/amul-hits-1062.gif^Kab badi Kab chhoti^Kab badi Kab chhoti^[u'India win the Kabbadi gold medal at the Asian games']
/files/hits/amul-hits-1061.gif^Worshipping Goddess Durga^/files/hits/amul-hits-1061.gif^Aashuthamini^Aashuthamini^[u'Worshipping Goddess Durga']
/files/hits/amul-hits-1060.gif^Operation Desert Storm^/files/hits/amul-hits-1060.gif^Bushed Solution is sa dam easy^Bushed Solution is sa dam easy^[u'Operation Desert Storm']
/files/hits/amul-hits-1059.gif^A comment on the Mandal Commission's report on reservations^/files/hits/amul-hits-1059.gif^Specially reserved for members of every Mandal^Specially reserved for members of every Mandal^[u"A comment on the Mandal Commission's report on reservations"]
/files/hits/amul-hits-1058.gif^Kuwait threatened by Iraqi invasion^/files/hits/amul-hits-1058.gif^Kai Ku wait for more trouble^Kai Ku wait for more trouble^[u'Kuwait threatened by Iraqi invasion']
/files/hits/amul-hits-1057.gif^Ms. Benazir Bhutto back to a domestic lifestyle after losing the elections^/files/hits/amul-hits-1057.gif^Return to Pak shastra^Return to Pak shastra^[u'Ms. Benazir Bhutto back to a domestic lifestyle after losing the elections']
/files/hits/amul-hits-1056.gif^A comment on the film `Appu Raja'^/files/hits/amul-hits-1056.gif^Reaching a new height of excellence^Reaching a new height of excellence^[u"A comment on the film `Appu Raja'"]
/files/hits/amul-hits-1055.gif^Suspected antisocials arrested under TADA^/files/hits/amul-hits-1055.gif^Try Amul's Delicious Applications^Try Amul's Delicious Applications^[u'Suspected antisocials arrested under TADA']
/files/hits/amul-hits-1054.gif^Maradona complains foul play against him^/files/hits/amul-hits-1054.gif^Morad ona? Phir excuses Matha eus karo^Morad ona? Phir excuses Matha eus karo^[u'Maradona complains foul play against him']
/files/hits/amul-hits-1053.gif^The US Open Tennis Tornament^/files/hits/amul-hits-1053.gif^The champion breakfasts on bredburger^The champion breakfasts on bredburger^[u'The US Open Tennis Tornament']
/files/hits/amul-hits-1052.gif^World Cup Soccer in Italy^/files/hits/amul-hits-1052.gif^Now for a month yeh duniya Goal hai^Now for a month yeh duniya Goal hai^[u'World Cup Soccer in Italy']
/files/hits/amul-hits-1051.gif^During street shoot outs^/files/hits/amul-hits-1051.gif^What can be done in broad daylight in crowded areas?^What can be done in broad daylight in crowded areas?^[u'During street shoot outs']
/files/hits/amul-hits-1050.gif^Ability of the Indian Armed Forces to take on the Pakistanis^/files/hits/amul-hits-1050.gif^This pak can be licked easily^This pak can be licked easily^[u'Ability of the Indian Armed Forces to take on the Pakistanis']
/files/hits/amul-hits-1049.gif^Three Amul Butter pack sizes linked to the film : The Three Musketiers^/files/hits/amul-hits-1049.gif^The three `muska'tiers^The three `muska'tiers^[u'Three Amul Butter pack sizes linked to the film : The Three Musketiers']
/files/hits/amul-hits-1048.gif^L & T and LIC get into financial tangle^/files/hits/amul-hits-1048.gif^High finances's full of Laughter & Tears^High finances's full of Laughter & Tears^[u'L & T and LIC get into financial tangle']
/files/hits/amul-hits-1047.gif^During the fuel hike^/files/hits/amul-hits-1047.gif^This fuel is the only alternative^This fuel is the only alternative^[u'During the fuel hike']
